PU,PU_cleaned
ASME,ASME
AMER SOC PLANT BIOLOGISTS,ASPB
AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS,ASPET
AMER SOC TROP MED & HYGIENE,ASTMH
AMER THORACIC SOC,ATS
A V S AMER INST PHYSICS,AVS
BENTHAM SCIENCE PUBL,Bentham Science
BENTHAM SCIENCE PUBL LTD,Bentham Science
BIOMED CENTRAL LTD,BMC
BMC,BMC
BMJ PUBLISHING GROUP,BMJ
BOTANICAL SOC AMER INC,Botanical Society of America
BRILL,Brill
BRILL ACADEMIC PUBLISHERS,Brill
"CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS",Canadian Science Publishing
CENTERS  DISEASE CONTROL,CDC
CHURCHILL LIVINGSTONE,Churchill Livingstone
CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS,Churchill Livingstone
COMPANY OF BIOLOGISTS LTD,CoB
COPERNICUS GESELLSCHAFT MBH,Copernicus
"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",CSH
CSIRO PUBLISHING,CSIRO Publishing
CAMBRIDGE UNIV PRESS,CUP
CURRENT BIOLOGY LTD,Current Biology
DE GRUYTER MOUTON,De Gruyter
DE GRUYTER OPEN LTD,De Gruyter
DE GRUYTER POLAND SP ZOO,De Gruyter
WALTER DE GRUYTER GMBH,De Gruyter
US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,DHHS
DOVE MEDICAL PRESS LTD,Dove
DUKE UNIV PRESS,Duke U Press
ELECTROCHEMICAL SOC INC,ECS
E D P SCIENCES,EDP
EDP SCIENCES S A,EDP
EARTHQUAKE ENGINEERING RESEARCH INST,EERI
ELIFE SCIENCES PUBLICATIONS LTD,eLife
ACADEMIC PRESS INC ELSEVIER SCIENCE,Elsevier
ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,Elsevier
ACADEMIC PRESS LTD-ELSEVIER SCIENCE LTD,Elsevier
CELL PRESS,Elsevier
ELSEVIER,Elsevier
ELSEVIER ACADEMIC PRESS INC,Elsevier
ELSEVIER ADVANCED TECHNOLOGY,Elsevier
ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,Elsevier
"ELSEVIER GMBH, URBAN & FISCHER VERLAG",Elsevier
ELSEVIER INC,Elsevier
ELSEVIER IRELAND LTD,Elsevier
ELSEVIER MASSON,Elsevier
ELSEVIER NORTH HOLLAND,Elsevier
ELSEVIER SCI LTD,Elsevier
ELSEVIER SCIENCE BV,Elsevier
ELSEVIER SCIENCE INC,Elsevier
ELSEVIER SCIENCE LONDON,Elsevier
ELSEVIER SCIENCE SA,Elsevier
ELSEVIER SINGAPORE PTE LTD,Elsevier
ELSEVIER TAIWAN,Elsevier
ELSEVIER URBAN & PARTNER SP Z O O,Elsevier
EXCERPTA MEDICA INC-ELSEVIER SCIENCE INC,Elsevier
MOSBY-ELSEVIER,Elsevier
NORTH HOLLAND,Elsevier
"NORTH HOLLAND, ELSEVIER SCIENCE PUBL BV",Elsevier
PERGAMON-ELSEVIER SCIENCE LTD,Elsevier
REED BUSINESS INFORMATION,Elsevier
W B SAUNDERS CO LTD,Elsevier
W B SAUNDERS CO-ELSEVIER INC,Elsevier
EMERALD GROUP PUBLISHING LIMITED,Emerald Group
EMERALD GROUP PUBLISHING LTD,Emerald Group
ENDOCRINE SOC,Endocrine Society
FEDERATION AMER SOC EXP BIOL,FASEB
FRONTIERS MEDIA SA,Frontiers
FRONTIERS RESEARCH FOUNDATION,Frontiers
FUTURE MEDICINE LTD,Future Medicine
"GEOLOGICAL SOC AMER, INC",Geological Society of America
GENETICS SOC AM,GSA
GENETICS SOCIETY AMERICA,GSA
HARBORSIDE PRESS,Harborside Press
HINDAWI LTD,Hindawi
HINDAWI PUBLISHING CORP,Hindawi
HINDAWI PUBLISHING CORPORATION,Hindawi
HUMANA PRESS INC,Humana
IEEE,IEEE
IEEE COMPUTER SOC,IEEE
"IEEE, ELECTRON DEVICES SOC & RELIABILITY GROUP",IEEE
IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,IEEE
INST ENGINEERING TECHNOLOGY-IET,IET
IMPACT JOURNALS LLC,Impact Journals
INST MATHEMATICAL STATISTICS,IMS
INFORMS,Informs
"INT PRESS BOSTON, INC",Int Press Boston
INT UNION CRYSTALLOGRAPHY,International Union of Crystallography
INTER-RESEARCH,Inter-Research
IOP PUBLISHING LTD,IoP
IOS PRESS,IOS
JOHNS HOPKINS UNIV PRESS,JHU Press
"JMIR PUBLICATIONS, INC",JMIR
JOURNAL OF VISUALIZED EXPERIMENTS,JoVE
KARGER,Karger
LIPPINCOTT WILLIAMS & WILKINS,LWW
MAGNOLIA PRESS,Magnolia Press
"MARY ANN LIEBERT, INC",Mary Ann Liebert
MASSACHUSETTS MEDICAL SOC,Massachusetts Medical Society
MDPI,MDPI
MDPI AG,MDPI
MEDKNOW PUBLICATIONS & MEDIA PVT LTD,Medknow
MIT PRESS,MIT Press
NATL ACAD SCIENCES,NAS
OPTICAL SOC AMER,OSA
AACC INTERNATIONAL,Other
ABC-CLIO,Other
ACAD  CONFERENCES LTD,Other
ACAD AMER FRANCISCAN HIST,Other
ACAD MANAGED CARE PHARMACY,Other
ACAD MANAGEMENT,Other
ACAD MEDICAL SCIENCES I R IRAN,Other
"ACAD SCIENCES CZECH REPUBLIC, INST PHYSIOLOGY",Other
"ACAD SCIENCES, CZECH REPUBLIC, INST SCIENTIFIC INSTRUMENTS ASCR, V V I",Other
ACADEMIA-PUBL HOUSE CZECHOSLOVAK ACAD SCIENCES,Other
ACTA DERMATO-VENEREOLOGICA,Other
ACTA PHARMACOLOGICA SINICA,Other
ADVANSTAR COMMUNICATIONS INC,Other
ADVANTAGE BUSINESS MEDIA,Other
AEROSPACE MEDICAL ASSOC,Other
AFRICAN AMER REVIEW,Other
AFRICAN NETWORKS ETHNOMEDICINES,Other
AGRICULTURAL HISTORY SOCIETY,Other
AGRICULTURAL INST CANADA,Other
AI ACCESS FOUNDATION,Other
AKADEMIAI KIADO RT,Other
ALAN GUTTMACHER INST,Other
ALCOHOL RES DOCUMENTATION INC CENT ALCOHOL STUD RUTGERS UNIV,Other
ALDRICH CHEMICAL CO INC,Other
ALFRED UNIV,Other
ALL INDIA INST MEDICAL SCIENCES,Other
ALLEN PRESS INC,Other
ALLERTON PRESS INC,Other
ALLIANCE CHILDREN & FAMILIES,Other
ALLIANCE COMMUNICATIONS GROUP DIVISION ALLEN PRESS,Other
ALPHAMED PRESS,Other
AM SOC INTERVENTIONAL PAIN PHYSICIANS,Other
AME PUBL CO,Other
"AMER  ASSOC TEACHERS SPANISH PORTUGUESE, INC",Other
AMER ACAD AUDIOLOGY,Other
AMER ACAD FAMILY PHYSICIANS,Other
AMER ACAD PEDIATRIC DENTISTRY,Other
AMER ACAD PERIODONTOLOGY,Other
AMER ACAD PSYCHIATRY & LAW,Other
AMER ACCOUNTING ASSOC,Other
AMER ANIMAL HOSPITAL ASSOC,Other
AMER ARACHNOLOGICAL SOC,Other
AMER ASSOC ARTIFICIAL INTELL,Other
AMER ASSOC AVIAN PATHOLOGISTS,Other
AMER ASSOC CLINICAL CHEMISTRY,Other
AMER ASSOC CLINICAL ENDOCRINOLOGISTS,Other
AMER ASSOC COLL PHARMACY,Other
AMER ASSOC CRITICAL CARE NURSES,Other
AMER ASSOC INTELLECTUAL DEVELOPMENTAL DISABILITIES,Other
AMER ASSOC LABORATORY ANIMAL SCIENCE,Other
AMER ASSOC LAW LIBRARIES,Other
AMER ASSOC PETROLEUM GEOLOGIST,Other
AMER ASSOC PHYSICS TEACHERS,Other
AMER ASSOC PHYSICS TEACHERS AMER INST PHYSICS,Other
AMER ASSOC SWINE VETERINARIANS,Other
AMER ASSOC TEACHERS FRENCH,Other
AMER ASSOC TEACHERS SLAVIC EAST EUROPEAN LANGUAGES,Other
AMER ASSOC TEXTILE CHEMISTS COLORISTS,Other
AMER ASSOC ZOO VETERINARIANS,Other
AMER BOARD FAMILY MEDICINE,Other
AMER CATHOLIC PHILOSOPHICAL ASSOC,Other
AMER CERAMIC SOC,Other
AMER COLL CHEST PHYSICIANS,Other
AMER COLL PHYSICIANS,Other
AMER CONCRETE INST,Other
AMER DENTAL ASSOC,Other
AMER DENTAL EDUCATION ASSOC-ADEA,Other
AMER EPILEPSY SOCIETY,Other
AMER FERN SOC INC,Other
AMER FISHERIES SOC,Other
AMER FOLKLORE SOC,Other
AMER HELICOPTER SOC INC,Other
AMER INST CHEMICAL ENGINEERS,Other
AMER INST STEEL CONSTRUCTION,Other
AMER INST ULTRASOUND MEDICINE,Other
AMER JOURNAL SCIENCE,Other
AMER LABORATORY-LABCOMPARE,Other
AMER LIBRARY ASSOC,Other
"AMER MALACOLOGICAL SOC, INC",Other
AMER MARKETING ASSOC,Other
AMER MIDLAND NATURALIST,Other
AMER MOSQUITO CONTROL ASSOC,Other
AMER MUSEUM NATURAL HISTORY,Other
AMER NUCLEAR SOC,Other
"AMER OCCUPATIONAL THERAPY ASSOC, INC",Other
AMER ORIENTAL SOC,Other
AMER ORNITHOLOGISTS UNION,Other
AMER PHARMACEUTICAL ASSOC,Other
AMER PHYSICAL THERAPY ASSOC,Other
AMER PODIATRIC MED ASSOC,Other
AMER POMOLOGICAL SOC,Other
AMER POWDER METALLURGY INST,Other
AMER REAL ESTATE SOC,Other
AMER ROENTGEN RAY SOC,Other
AMER SCHOOL CLASSICAL STUDIES AT ATHENS,Other
AMER SCHS ORIENTAL RESEARCH,Other
AMER SCIENTIFIC AFFILIATION,Other
AMER SCIENTIFIC PUBLISHERS,Other
AMER SOC AGING,Other
AMER SOC AGRICULTURAL & BIOLOGICAL ENGINEERS,Other
AMER SOC AGRONOMY,Other
AMER SOC ANIMAL SCIENCE,Other
AMER SOC BREWING CHEMISTS INC,Other
AMER SOC COMPARATIVE LAW INC,Other
AMER SOC ENGINEERING EDUCATION,Other
AMER SOC ENOLOGY VITICULTURE,Other
AMER SOC HEALTH-SYSTEM PHARMACISTS,Other
"AMER SOC HEATING REFRIGERATING AIR-CONDITIONING ENG, INC,",Other
"AMER SOC HEATING, REFRIGERATING AND AIR-CONDITIONING ENGS",Other
AMER SOC HORTICULTURAL SCIENCE,Other
AMER SOC ICHTHYOLOGISTS & HERPETOLOGISTS,Other
AMER SOC INT LAW,Other
AMER SOC LANDSCAPE ARCHITECTS,Other
AMER SOC LIMNOLOGY OCEANOGRAPHY,Other
AMER SOC NONDESTRUCTIVE TEST,Other
AMER SOC PARASITOLOGISTS,Other
AMER SOC PHOTOGRAMMETRY,Other
AMER SOC PLANT TAXONOMISTS,Other
AMER SOC QUALITY CONTROL-ASQC,Other
AMER SOC TESTING MATERIALS,Other
AMER SOC TRANSPORTATION LOGISTICS,Other
AMER SPEECH-LANGUAGE-HEARING ASSOC,Other
AMER WATER WORKS ASSOC,Other
AMER WELDING SOC,Other
AMPHIBIAN & REPTILE CONSERVATION,Other
ANDREW JOHN PUBL,Other
ANKA PUBLISHER,Other
ANNAL  MATHEMATICS,Other
ANNALES INST FOURIER,Other
ANNALS FAMILY MEDICINE,Other
AO RESEARCH INSTITUTE DAVOS-ARI,Other
AOAC INT,Other
AOSIS,Other
APERTURE,Other
APPLE ACAD PRESS INC,Other
APPLIED COMPUTATIONAL ELECTROMAGNETICS SOC,Other
APPLIED PROBABILITY TRUST,Other
"AQUATIC PLANT MANAGEMENT SOC, INC",Other
ARCHAEOLOGICAL INST AMERICA,Other
ARCTIC INST N AMER,Other
ARIZONA STATE UNIV,Other
ARQUIVOS BRASILEIROS CARDIOLOGIA,Other
ARS POLONA-RUCH,Other
ARTECH HOUSE,Other
ARTFORUM,Other
ASEAN NEUROLOGICAL ASSOC,Other
ASHGATE PUBLISHING LTD,Other
ASIAN AMER STUDIES CNTR,Other
ASIAN-AUSTRALASIAN ASSOC ANIMAL PRODUCTION SOC,Other
ASM INT,Other
ASOCIACION ESPANOLA MICOLOGIA-AEM,Other
ASSOC ACAD LANGUAGE LEARNING,Other
ASSOC ADV BEHAVIOR THERAPY,Other
ASSOC ADVANCEMENT BALTIC STUDIES INC,Other
ASSOC AUSTRALASIAN PALAEONTOLOGISTS,Other
ASSOC AVIAN VETERINARIANS,Other
ASSOC BASIC MEDICAL SCI FEDERATION BOSNIA & HERZEGOVINA SARAJEVO,Other
ASSOC BRAS DIVULG CIENTIFICA,Other
ASSOC BRASILEIRA CIENCIA ECOLOGICA E CONSERVACAO,Other
ASSOC BRASILEIRA HORTICULTURA,Other
ASSOC COLL RESEARCH LIBRARIES,Other
ASSOC FIRE ECOLOGY,Other
ASSOC INFORMATION SYSTEMS,Other
ASSOC INTERNATIONAL JOURNAL CENTRAL BANKING,Other
ASSOC MILITARY SURG US,Other
ASSOC SCHOOLS PUBLIC HEALTH,Other
ASSOC SUPERVISION CURRICULUM DEVELOPMENT,Other
ASTRONOMICAL SOC PACIFIC,Other
ATLANTIS PRESS,Other
AUBURN UNIV,Other
AUSTRALIAN CERAMIC SOCIETY,Other
AUSTRALIAN NATL UNIV,Other
AVES,Other
BAILEY-MATTHEWS SHELL MUSEUM,Other
BAISHIDENG PUBLISHING GROUP INC,Other
BASKENT UNIV,Other
BEGELL HOUSE INC,Other
BEILSTEIN-INSTITUT,Other
BERGHAHN JOURNALS,Other
BIOMEDICAL RESEARCH PRESS LTD,Other
BIOSCIENTIFICA LTD,Other
BIRKHAUSER BOSTON,Other
BIRKHAUSER VERLAG AG,Other
BLOOMSBURY PUBL INC,Other
BLOOMSBURY PUBLISHING  PLC,Other
BLOOMSBURY T & T CLARK,Other
BOSTON UNIV,Other
BOSTON UNIV LAW REVIEW,Other
BOSTON UNIV SCHOLARLY PUBL,Other
BRAZILIAN COLL VETERINARY PARASITOLOGY,Other
BRAZILIAN SOC PLANT PHYSIOLOGY,Other
BRAZILIAN SOC UROL,Other
BREPOLS PUBL,Other
BRIGHAM YOUNG UNIV,Other
BRITISH EDITORIAL SOC BONE JOINT SURGERY,Other
BRITISH INST NON-DESTRUCTIVE TESTING,Other
BRITISH INST PERSIAN STUDIES,Other
BRITISH INST RADIOLOGY,Other
BRITISH PSYCHOLOGICAL SOC,Other
BUDAPEST UNIV TECHNOL & ECON,Other
C H BECKSCHE,Other
CABI PUBLISHING-C A B INT,Other
CADERNOS SAUDE PUBLICA,Other
"CAIRO UNIV, FAC COMPUTERS & INFORMATION",Other
CAISTER ACADEMIC PRESS,Other
CALIFORNIA FISH AND GAME EDITOR,Other
CALIFORNIA FOLKLORE SOC,Other
CALIFORNIA HISTORICAL SOC,Other
CANADIAN AERONAUTICS & SPACE INST,Other
CANADIAN CENTER SCIENCE & EDUCATION,Other
CANADIAN J UROLOGY,Other
CANADIAN MATHEMATICAL SOC,Other
CANADIAN OPHTHAL SOC,Other
CANADIAN PUBLIC HEALTH ASSOC,Other
CANADIAN UROLOGICAL ASSOCIATION,Other
CANADIAN VET MED ASSOC,Other
CASA EDITRICE LEO S OLSCHKI,Other
CATHOLIC UNIV AMER PRESS,Other
CCC PUBL-AGORA UNIV,Other
CENT GREAT PLAINS STUD,Other
CENTER PSYCHIATRIC REHABILITATION,Other
CENTER URBAN TRANSPORTATION RESEARCH,Other
CENTRAL CHINA NORMAL UNIV,Other
CENTRAL MICHIGAN UNIV CLARKE HISTORICAL LIBRARY,Other
CENTRO ESTUDIOS HISTORICUS CONSEJO SUPER INVEST CIENTIF,Other
CENTRO INVESTIGACIONES SOCIOLOGICAS,Other
CERAMIC SOC JAPAN-NIPPON SERAMIKKUSU KYOKAI,Other
CFA INST,Other
CHARLES BABBAGE RES CTR,Other
CHARLES UNIV,Other
CHELONIAN RESEARCH FOUNDATION,Other
CHEMICAL INDUSTRY PRESS,Other
CHEMICAL SOC JAPAN,Other
CHICAGO REVIEW,Other
CHIN SOCIETY IMMUNOLOGY,Other
CHINA INST COMMUNICATIONS,Other
CHINA OCEAN PRESS,Other
CHINESE ACAD AGRICULTURAL ENGINEERING,Other
"CHINESE ACAD SCIENCES, CHANGCHUN INST OPTICS FINE MECHANICS AND PHYSICS",Other
"CHINESE ACAD SCIENCES, INST BIOPHYSICS",Other
"CHINESE ACAD SCIENCES, INST METAL RESEARCH",Other
CHINESE CHEMICAL SOC,Other
CHINESE GEOSCIENCE UNION,Other
CHINESE JOURNAL NATURAL MEDICINES,Other
CHINESE PHYSICAL SOC,Other
CHINESE UNIV PRESS,Other
"CIG MEDIA GROUP, LP",Other
CIRAD-CENTRE COOPERATION INT RECHERCHE AGRONOMIQUE POUR,Other
"CLAHR, SPANISH COLONIAL RES CENTER",Other
CLASSICAL ASSOC ATLANTIC STATES,Other
CLAY MINERALS SOC,Other
CLEVELAND CLINIC,Other
CLINICAL & EXPER RHEUMATOLOGY,Other
CMA-CANADIAN MEDICAL ASSOC,Other
CO-ACTION PUBLISHING,Other
COASTAL EDUCATION & RESEARCH FOUNDATION,Other
COGNIZANT COMMUNICATION CORP,Other
COLEOPTERISTS SOC,Other
COLL AMER PATHOLOGISTS,Other
COLLEGE PUBLISHING,Other
COLUMBIA JOURNAL TRANSNATIONAL LAW ASSOC,Other
COMISION ECONOMICA PARA AMERICA LATINA Y EL CARIBE,Other
COMSIS CONSORTIUM,Other
CONSERVATOIRE ET JARDIN BOTANIQUES VILLE GENEVE,Other
COOPER ORNITHOLOGICAL SOC,Other
CORNELL INT LAW JOURNAL,Other
CORNELL LAW REVIEW,Other
CORNELL UNIV DEPT ANIMAL SCIENCE,Other
CORWIN PRESS INC A SAGE PUBLICATIONS CO,Other
COUNCIL CHILDREN BEHAVIORAL DISORDERS,Other
COUNCIL EXCEPTIONAL CHILDREN,Other
COUNCIL FOREIGN RELAT IONS INC,Other
CRITICA HISPANICA,Other
CROATIAN ACADEMY ENGINEERING,Other
CROP SCIENCE SOC AMER,Other
CRUSTACEAN SOC,Other
CRYO LETTERS,Other
CURRENT MEDICINE GROUP,Other
CURRENT ZOOLOGY,Other
CZECH ACADEMY AGRICULTURAL SCIENCES,Other
DAEDALUS ENTERPRISES INC,Other
DEFENCE SCIENTIFIC INFORMATION DOCUMENTATION CENTRE,Other
DEMOS MEDICAL PUBLICATIONS,Other
DESALINATION PUBL,Other
DESIGN SOC,Other
"DESTECH PUBLICATIONS, INC",Other
DEUTSCHE GESELLSCHAFT HERPETOLOGIE TERRARIENKUNDE E V,Other
DICKENS FELLOWSHIP,Other
DISCOVERY MEDICINE,Other
DISCRETE MATHEMATICS THEORETICAL COMPUTER SCIENCE,Other
DOWDEN HEALTH MEDIA,Other
DUKE UNIV,Other
DUSTRI-VERLAG DR KARL FEISTLE,Other
E M W PUBLISHING,Other
E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG,Other
EAST ASIAN INST,Other
ECAADE-EDUCATION & RESEARCH COMPUTER AIDED ARCHITECTURAL DESIGN EUROPE,Other
E-CENTURY PUBLISHING CORP,Other
ECOLOGICAL SOC AMER,Other
ECONOMETRIC SOCIETY,Other
ECONOMICS BULLETIN,Other
EDICIONES UNIV VALPARAISO,Other
EDINBURGH UNIV PRESS,Other
EDITIONS DE L ECOLE DES HAUTESETUDES EN SCIENCES SOCIALES,Other
EDITIONS MINUIT,Other
EDITIONS OPHRYS,Other
EDITIONS RODOPI B V,Other
EDITORIAL BOARD EJTIR,Other
EDITORIAL OFFICE CHINESE JOURNAL MECHANICAL ENGINEERING,Other
EDITORIAL OFFICE GUT & LIVER,Other
EDITRICE KURTIS S R L,Other
EDITURA ACAD ROMANE,Other
EDIZIONI ETS,Other
EDIZIONI MINERVA MEDICA,Other
EDWARD ELGAR PUBLISHING LTD,Other
ELECTRONIC JOURNAL OF COMBINATORICS,Other
ELECTRONIC JOURNALS PROJECT,Other
ELEMENT,Other
EMPRESA BRASIL PESQ AGROPEC,Other
ENGLISH LITERATURE TRANSITION,Other
ENTOMOLOGICAL SOC AMER,Other
ENTOMOLOGICAL SOC BRASIL,Other
ENVIRONMENTAL ENGINEERING GEOPHYSICAL SOC,Other
ENVIRONMENTAL PHILOSOPHY INC,Other
"EPL ASSOCIATION, EUROPEAN PHYSICAL SOCIETY",Other
EQUINOX PUBLISHING LTD,Other
ESPRIT,Other
"EUDOXUS PRESS, LLC",Other
EUGEN ULMER GMBH CO,Other
EUR CENTRE DIS PREVENTION & CONTROL,Other
EUROPA EDITION,Other
EUROPEAN ASSOC AQUATIC MAMMALS,Other
EUROPEAN ASSOC THEORETICAL COMPUTER SCIENCE,Other
EUROPEAN MATHEMATICAL SOC,Other
EUROPEAN RESPIRATORY SOC JOURNALS LTD,Other
EVOLUTIONARY ECOLOGY LTD,Other
F HERNANDEZ,Other
FABRIZIO SERRA EDITORE,Other
FEINSTEIN INST MED RES,Other
FEMINIST STUD INC,Other
FERRATA STORTI FOUNDATION,Other
FLORIDA ENTOMOLOGICAL SOC,Other
FLORIDA STATE UNIV,Other
FONDO CULTURA ECONOMICA,Other
FOOD & DRUG ADMINSTRATION,Other
FOOD DRUG LAW INST,Other
FORDHAM UNIV PRESS,Other
FORDHAM UNIV SCHOOL LAW,Other
FRANZ STEINER VERLAG GMBH,Other
FRENCH MATHEMATICAL SOC,Other
FRESHWATER BIOLOGICAL ASSOC,Other
FRIENDS SCIENCE PUBL,Other
FRONTIERS IN BIOSCIENCE INC,Other
FRONTLINE MEDICAL COMMUNICATIONS,Other
FUNCTIONAL FOOD CENTER INC,Other
FUNDACION ROMULO RAGGIO,Other
FUNDACO OSWALDO CRUZ,Other
FUNPEC-EDITORA,Other
FUTURE SCI LTD,Other
GEBRUDER BORNTRAEGER,Other
GENETICS SOC JAPAN,Other
GEOLOGICAL SOC INDIA,Other
GEOLOGICAL SOC PUBL HOUSE,Other
GEOLOGICAL SOC PUBLISHING HOUSE,Other
GEOMETRY & TOPOLOGY PUBLICATIONS,Other
GEOPHYSICAL PRESS,Other
GEORGE WASHINGTON UNIV INST ETHNOGRAPHIC RESEARCH,Other
GEORGETOWN LAW JOURNAL ASSOC,Other
GEORGIA ENTOMOLOGICAL SOC INC,Other
GESELLSCHAFT ERDKUNDE BERLIN,Other
GESELLSCHAFT SCHWEIZER TIERARZTINNEN & TIERARZTE,Other
GESIS LEIBNIZ INST SOCIAL SCIENCES,Other
GLOBAL SCIENCE PRESS,Other
GREEN WAVE PUBL CANADA,Other
GUILFORD PUBLICATIONS INC,Other
GUTERSLOHER VERLAGSHAUS,Other
"H E C PRESS, HEALTHY EATING CLUB PTY LTD",Other
H LEE MOFFITT CANCER CENTER & RESEARCH INST,Other
H M P COMMUNICATIONS,Other
HANS PUBLISHERS,Other
HARD,Other
HARVARD GRADUATE SCHOOL EDUCATION,Other
HARVARD LAW REV ASSOC,Other
HARVARD LAW SCHOOL,Other
HARVARD SOC LAW PUBLIC POLICY,Other
HARVARD-YENCHING INST,Other
HEBREW UNIV MAGNES PRESS,Other
HELDERMANN VERLAG,Other
HELMINTHOLOGICAL SOC WASHINGTON,Other
HERPETOLOGICAL CONSERVATION & BIOLOGY,Other
HERPETOLOGISTS LEAGUE,Other
HIGHER EDUCATION PRESS,Other
HIPPIATRIKA VERLAG MBH,Other
HOGREFE & HUBER PUBLISHERS,Other
HOKKAIDO UNIV,Other
HUDSON REVIEW INC,Other
HUMAN KINETICS PUBL INC,Other
HUMBOLDT FIELD RESEARCH INST,Other
HYLE PUBL,Other
I P PUBLISHING LTD,Other
I S & T - SOC IMAGING SCIENCE TECHNOLOGY,Other
IATED-INT ASSOC TECHNOLOGY EDUCATION A& DEVELOPMENT,Other
IBM CORP,Other
ICE PUBLISHING,Other
IEEK PUBLICATION CENTER,Other
IEICE-INST ELECTRONICS INFORMATION COMMUNICATIONS ENG,Other
IGI GLOBAL,Other
IJO PRESS,Other
IMPA,Other
IMPERIAL COLLEGE PRESS,Other
IMPRINT ACADEMIC,Other
INDERSCIENCE ENTERPRISES LTD,Other
INDIAN ACAD SCIENCES,Other
INDIAN COUNC AGRICULTURAL RES,Other
INDIANA LAW JOURNAL,Other
INDIANA UNIV MATH JOURNAL,Other
INDIANA UNIV PRESS,Other
"INDIANA UNIV, OPER & DECISION TECHNOL DEPT",Other
INFERENZE SCARL,Other
INFORMATION AGE PUBLISHING-IAP,Other
INIFAP-CENID PARASITOLOGIA VETERINARIA,Other
INNOVISION COMMUNICATIONS,Other
INST AGRICULTURAL MEDICINE,Other
INST ARCTIC ALPINE RES,Other
INST BIOCHEMISTRY & CELL BIOLOGY,Other
"INST BIOLOGIA, UNIV NACIONAL AUTONOMA MEXICO",Other
INST BREWING,Other
INST CHEMICAL ENGINEERS,Other
INST CONDENSED MATTER PHYSICS NATL ACAD SCIENCES UKRAINE,Other
INST CONFERENCE HIPPOCRATE,Other
"INST CONTROL ROBOTICS & SYSTEMS, KOREAN INST ELECTRICAL ENGINEERS",Other
INST EDUCATION POLICY STUDIES,Other
INST HISTOL EMBRIOL-CONICET,Other
INST INT LIT IBEROAMERICANA,Other
INST INVESTIGACIONES AGROPECUARIAS,Other
"INST INVESTIGACIONES OCEANOLOGICAS, U A B C",Other
INST INVESTOR INC,Other
INST KOREAN STUDIES,Other
INST NACIONAL SALUD PUBLICA,Other
INST NAVIGATION,Other
INST NOISE CONTROL ENGINEERING,Other
INST TRANSPORTATION ENGINEERS,Other
INT AIDS SOCIETY,Other
